,affection,agitation,alarm,anticipation,attention,awareness,awe,belief,cognition,consciousness,craziness,curiosity,decision,desire,disarray,disgust,distrust,dominance,drunkenness,contemplation,earnestness,ecstasy,embarrassment,exaltation,exhaustion,fatigue,friendliness,imagination,insanity,inspiration,intrigue,judgment,laziness,lethargy,lust,nervousness,objectivity,opinion,patience,peacefulness,pensiveness,pity,planning,playfulness,reason,relaxation,satisfaction,self-consciousness,self-pity,seriousness,skepticism,sleepiness,stupor,subordination,thought,trance,transcendence,uneasiness,weariness,worry
affection,0.09212084803141483,0.01666999550480415,0.01626139344636975,0.019796417705832608,0.016383834114744898,0.01789198936095255,0.01854347703889354,0.014842039778866332,0.012842648490482257,0.016114550636044306,0.015003436379368617,0.02162769643761505,0.012982973454737265,0.027043809837619153,0.012230217160365424,0.013655225208036933,0.015240637676755936,0.013538355279397717,0.013552539328419677,0.011785071776893925,0.017583440638448456,0.02058919795756108,0.013141736100706989,0.0185625849013421,0.013380473738572232,0.011737615830998586,0.02928373615750264,0.01422363616261841,0.012714816859534014,0.015754207590631293,0.019070017394034078,0.012078738059855506,0.011951582034077785,0.011447525445936564,0.01859322536511992,0.0164288881156698,0.011727770874573279,0.012260697191673258,0.016887129986308903,0.016275695287433955,0.011986957804011286,0.01375981119649359,0.011875702578971437,0.028926799368733346,0.011885292991758651,0.01607809072060198,0.022235444021772906,0.013912156641572943,0.010242081995113747,0.014483017946047368,0.012170934624829844,0.012169998621387441,0.012854801963415262,0.012409118905299237,0.013355899710333826,0.013145182026590268,0.014546461332237965,0.014930592960772785,0.013187944874320172,0.014023837375522227
agitation,0.01406149377625544,0.07770588365688534,0.023626615586450454,0.0183704733482454,0.013729514662883848,0.014384411051561335,0.01493534244418276,0.013816547990351438,0.012338266821223338,0.014293695341288366,0.022152544592572977,0.015968217078844594,0.012012839890671888,0.01718521112855959,0.018876213064011136,0.020112803795018074,0.02249640315490945,0.013782485226839428,0.021031738332331667,0.011310039548210287,0.015275504444405294,0.0153384109230873,0.017837107646302728,0.01833671336499463,0.015695216445148066,0.013593527555690238,0.013804702731533704,0.012312955554632304,0.019002990466271494,0.012999674879318026,0.01627912526038255,0.014500510171890125,0.014158251107365846,0.013875184397849651,0.01984241491070367,0.02607023177323303,0.012979758517474169,0.013293167314103049,0.012923610727713523,0.010935067786777952,0.012287731203461853,0.017017755529293466,0.011929776994722084,0.015028204516566288,0.011647713610255447,0.010805834029205279,0.013988316295479343,0.016781492828570513,0.012699403844741573,0.015641018721415056,0.01495095407989841,0.012476320473089513,0.017782161764731255,0.01589224524451988,0.012603266350762489,0.015192238701217789,0.014939945834488742,0.0205239509097418,0.01644192814743077,0.020124874450234562
alarm,0.013881696162034551,0.02391059127300669,0.07863985499019716,0.02002566732092281,0.01581503629757235,0.015992027938097144,0.01355605121943799,0.013862091680878371,0.013488420413789125,0.014908533079377367,0.021009590429070347,0.016784760882768923,0.013725594859811016,0.01684960685187434,0.01912754747572275,0.01785478710676765,0.024293593756782417,0.01654228055335606,0.021162101778772542,0.011388437977086842,0.014824258127719776,0.013884930670337914,0.016161516691186362,0.01686320035484757,0.015788310029112768,0.013716119901562168,0.014071911777281508,0.011864497186323522,0.01801419597316239,0.01234223824460149,0.016505382061431227,0.016226012798146776,0.014319801404964198,0.013833045449365524,0.019904699412987947,0.02268805414605291,0.014036748684904973,0.014303242366313782,0.01273075215667171,0.010266097869313772,0.01193239096757265,0.015220363308761696,0.013418274406184087,0.015312632396419876,0.012427255820673604,0.010535399094884592,0.01370669209666931,0.016499573400969556,0.011526347499832747,0.015674558115012824,0.015520215620970624,0.012419871283326653,0.01756413051018013,0.018893590517113156,0.013341410643136584,0.014225073184439047,0.014142478819254388,0.018420051489700367,0.0158835044840695,0.018172898987214053
anticipation,0.016154804337693555,0.017772129290460154,0.019143322414089524,0.0751749279836343,0.019598080005210298,0.020985624935170977,0.014591119310776043,0.016291174184302266,0.01602964208242698,0.018412468975789503,0.017140526491361566,0.022445075135438388,0.016453054331797133,0.018639186313960183,0.015299418352138569,0.014260164987470259,0.01880575300582182,0.015620750331152693,0.016519146278067363,0.012986885236926543,0.017352490966236304,0.014757645258468205,0.01317530534314958,0.017531799992072803,0.013994168892040137,0.012115356502709305,0.017077843240638713,0.01376074587198341,0.014733541147013219,0.014138334640345486,0.020555786625527907,0.016107356324470284,0.012914023138253496,0.012123336534108417,0.01667970802931596,0.0175956101398549,0.015281663942425017,0.015723448388460456,0.015443602482617612,0.011744260938082434,0.012821982834695426,0.013779278997904907,0.015500569368321128,0.017926614953433947,0.014561528820622732,0.012016854170998764,0.016702061254449337,0.016411772872845728,0.010541970634249154,0.017047343917830644,0.01557679614535785,0.011643122655407609,0.014912531105340372,0.016142204996735837,0.015916072512436853,0.01373314330797024,0.015014719770321941,0.015621270840791754,0.01388208865611641,0.015118789802707524
attention,0.015368180816805225,0.01526743671620268,0.017377701613005177,0.02252710339244852,0.0864101674631892,0.026392556437204295,0.01250261396511692,0.015904941399498825,0.019544167259545255,0.01933440216961976,0.014805159914703677,0.021702565941562366,0.023249402172854657,0.01650988115080392,0.014341258164903297,0.012111477725571244,0.01696100931906452,0.019807709151363505,0.015167114911095321,0.013656804305990162,0.015713347205742505,0.012552722885309904,0.011237817717145819,0.01478322951441395,0.013959388413165606,0.012447623765996308,0.017038305762217484,0.013077632711191703,0.013028757428560148,0.012892828483582154,0.01877434466397093,0.01765333784537449,0.01322065003296562,0.012220572160144043,0.01492941302607676,0.014940092084644628,0.01732036604478161,0.01709852840386009,0.015360231344620468,0.011271487321664006,0.012547013118450318,0.01171287086216871,0.019913826100567206,0.01737018201502263,0.016778871135905066,0.01235051985790117,0.016064415611858975,0.01497225934938018,0.009359256266314958,0.016251145211895985,0.015598579212550598,0.011995802603043702,0.014132430610430805,0.01874018148377715,0.01795974606861997,0.012574089810945304,0.01365556667792269,0.013485489187338572,0.013163957327578895,0.012911466682350476
awareness,0.01563472330154189,0.014901420740885558,0.016370062271926823,0.022471826939463476,0.024587032073723442,0.08049881654959141,0.01334221617646105,0.016816712276764855,0.019634697699763417,0.020972107025726622,0.014533784972624635,0.023267178061929485,0.021132786880685775,0.016659920527651938,0.013952772631598439,0.01208095770456316,0.016107932607269632,0.016050787022282752,0.014834155211150363,0.014581502159946958,0.016809847240426296,0.013236274095472948,0.01104968000679104,0.015629172548055435,0.014053978723518563,0.012464201335293948,0.017069910700829038,0.014093378137670568,0.012858394991388912,0.013699261612047972,0.019884079555810057,0.016049461674480816,0.013354631899746675,0.012334875562547821,0.01398441206484751,0.014759721830419825,0.017112844945993293,0.016565566405901073,0.017012945997964334,0.01242284442213367,0.013474713445935647,0.01208883174586708,0.018599009414334337,0.01727476613032305,0.017006104390614677,0.01335951474482417,0.017543833176844596,0.015277089011457974,0.009809233629063299,0.01708741084957744,0.015535875872975403,0.012268875546943912,0.014252102345420405,0.016359455710501195,0.018798714218645013,0.013379009073438789,0.014671862924737912,0.01386705150077992,0.013495417447939398,0.012974252232884599
awe,0.016734946031655522,0.015979101439528708,0.014331167422368672,0.016136400355699125,0.012028931387927004,0.01377937596635829,0.0831363728044422,0.01812214449872439,0.012461213255224823,0.016036928729709417,0.016791111599351056,0.016984739549782826,0.011033600881542373,0.01829853432649591,0.013674882836297335,0.016882982263667523,0.014927763560443006,0.009483011859429185,0.014323644807390812,0.014145361762337189,0.02199721639262855,0.02596495051426336,0.016264921311312595,0.023673724752373265,0.012115725680135076,0.010585054686286925,0.015744364456341343,0.019517543472474908,0.015659496384827304,0.022370596778501232,0.0195690273293473,0.012204429028257968,0.01135080760251764,0.011012143616436135,0.014558303627959904,0.016853319444561025,0.012513502289529303,0.013464297644970912,0.017695629586543356,0.016390974737840746,0.015609634832407002,0.01974810465921295,0.011283744301755253,0.015883406443186136,0.012834462940476857,0.013359569807271033,0.01835999818370955,0.01766425074390729,0.015437540586826488,0.017375562360792088,0.014414654301612866,0.010746827094148976,0.013668757459081665,0.010323754258913307,0.013849750246948143,0.01658113156888491,0.019740618175798832,0.017310918354514426,0.013402166173493671,0.017606902831574296
belief,0.012299623736842234,0.013573811327248629,0.013456813231868389,0.016543809798236858,0.01405152267389639,0.01594805629783465,0.016640818293344038,0.07634070424191863,0.01771298481205412,0.02047959758290012,0.015508299901885422,0.017114296336953567,0.01493488485667925,0.013692875113627878,0.014618003780658032,0.013972023521609488,0.014791078952834606,0.010096245084327873,0.014471723561222805,0.018981678830703577,0.0225630088487984,0.01496288635967518,0.01302000459968386,0.018378582386050328,0.011576448794510622,0.01021516177140602,0.012593028866818175,0.02204077942893929,0.015188712587761334,0.020036899167552715,0.021141634584226396,0.015646326690403667,0.011457731313895247,0.010776132766523368,0.0115057770283336,0.014304133472829729,0.018060122531582377,0.019267266371885215,0.018204246031376197,0.012825766461257923,0.01857535651907485,0.01611805435033627,0.016233157928050884,0.012612428127939668,0.019346655655600332,0.011430011007224811,0.01540014706986119,0.020483530405077797,0.014236987243347776,0.022447177072591865,0.019295442314168486,0.01005117727199212,0.013875436554295106,0.011671010807352247,0.019636285344758125,0.016177093359524015,0.02059946278324341,0.014888032822581053,0.01258555411069449,0.015343497252129135
cognition,0.011380995308754515,0.012962352574911755,0.01400238341970142,0.01740741889303928,0.018464429751858635,0.019912156604577673,0.012236376508043607,0.01894170916087804,0.08163634939171725,0.02250015615497256,0.013832317858851039,0.017576515074293735,0.02293184752504034,0.012432494351233864,0.014965575486896055,0.011761318031430006,0.014760733912684194,0.012745418354885588,0.01492264692455097,0.019366605549038067,0.016551531378674093,0.011393096267781335,0.010524007067554962,0.014499864850111429,0.013541729380652538,0.01234202676817356,0.01214611476288628,0.01570139716499245,0.0133542102259588,0.013829537322998244,0.017973032781298914,0.017329307880426765,0.013835220681203008,0.012725046606393469,0.010848924139191108,0.01321004522558718,0.023962693305359092,0.020167425412903926,0.017155909869975342,0.011656998686060589,0.01684342213491779,0.012365984360295902,0.023890344495332012,0.01225582034342714,0.024402512978146565,0.012039545458435337,0.01458406080565811,0.0168329018911424,0.011385045161410902,0.019696731507487603,0.019139904461350252,0.011946774592999854,0.015045687588027393,0.015330511776795331,0.02549469997770333,0.014895454542087811,0.016238138357870604,0.013598426073409142,0.013632132642392674,0.012893980235568234
consciousness,0.013080730298606938,0.013755055178001147,0.014176333727770739,0.018315160403302538,0.01673160566196562,0.01948158505391129,0.01442453579619043,0.020060279319503344,0.020609795174081392,0.07477763390327406,0.01433112703739854,0.01961000789927427,0.017557610734819984,0.014170757652037754,0.014326662611341325,0.012464325875446693,0.014710952152375044,0.011407832282797027,0.014793374603765773,0.018712507510955073,0.018995546327639768,0.013471837115248722,0.01109571375109263,0.01680972337588852,0.013789157348752544,0.01228461464492405,0.013617986669737762,0.017259250524577267,0.013460056605786317,0.015503985333240638,0.02031440727672346,0.014752683071564103,0.01364533376405377,0.012646278131871923,0.011536518760830975,0.014113753374058964,0.018734722238098623,0.017178524431083076,0.020148800488539544,0.01371557068533365,0.017362117995940805,0.013468092683887366,0.017476403638498082,0.013717228641507793,0.019422547017719657,0.013607415408832965,0.017331203283233558,0.01717316665571361,0.01189951875983002,0.020678531380829413,0.017355243576891777,0.012252280050421087,0.01506544312538712,0.013361222686215169,0.022448463646143155,0.016081552058156957,0.018114355200512997,0.01479120070849334,0.014182949278153794,0.013638727407765963
